Name,Type,FileIdx,FileSectorOffset,ImageSectorOffset,Scenario
2.avi,avi,0,000000-011421,020014-031435,24
2.avi,avi,1,011422-016553,031442-036573,24
1.mov,mov,0,000000-016661,036851-053512,7
2.jpg,jpg,0,000000-000300,057145-057445,15
2.jpg,jpg,1,000301-002149,057504-059352,15
5.doc,doc,0,000000-000056,064535-064591,59
5.doc,doc,2,000061-000066,064603-064608,59
14.jpg,jpg,0,000000-000484,070034-070518,60
16.mp3,mp3,1,000594-001187,071439-072032,67
16.mp3,mp3,0,000000-000593,072033-072626,67
6.pdf,pdf,1,000273-000432,074008-074167,52
6.pdf,pdf,2,000433-000942,074232-074741,52
6.pdf,pdf,0,000000-000272,074835-075107,52
7.pdf,pdf,0,000000-000000,078724-078724,78
7.pdf,pdf,2,000020-000023,078749-078752,78
2.doc,doc,0,000000-000135,083486-083621,1
12.jpg,jpg,2,000251-000292,087538-087579,40
12.jpg,jpg,1,000243-000250,087677-087684,40
12.jpg,jpg,0,000000-000242,087716-087958,40
3.jpg,jpg,0,000000-001347,089029-090376,16
4.jpg,jpg,0,000000-000674,090377-091051,16
3.jpg,jpg,1,001348-003964,091052-093668,16
4.jpg,jpg,1,000675-000785,093669-093779,16
5.jpg,jpg,0,000000-005883,093780-099663,16
4.jpg,jpg,2,000786-001571,099664-100449,16
5.jpg,jpg,1,005884-007742,100450-102308,16
4.mbox,mbox,0,000000-000021,102681-102702,29
5.mbox,mbox,0,000000-000050,102703-102753,29
4.mbox,mbox,1,000022-000028,102754-102760,29
5.mbox,mbox,1,000051-000054,102784-102787,29
2.mpg,mpg,0,000000-008981,102857-111838,35
2.mpg,mpg,1,008982-014487,111889-117394,35
10.pdf,pdf,0,000000-000472,119796-120268,77
5.mp4,mp4,0,000000-006149,122598-128747,73
3.mp4,mp4,0,000000-005726,129709-135435,23
4.mp4,mp4,0,000000-002137,135485-137622,23
3.mp4,mp4,1,005727-008548,137623-140444,23
4.mp4,mp4,1,002138-007373,140445-145680,23
25.mp3,mp3,0,000000-000933,148125-149058,72
26.mp3,mp3,1,004051-004940,149059-149948,72
25.mp3,mp3,1,000934-003894,149949-152909,72
17.mp3,mp3,0,000000-007551,156545-164096,68
18.mp3,mp3,0,000000-001641,164097-165738,68
17.mp3,mp3,1,007552-013485,165739-171672,68
13.mp3,mp3,0,000000-001523,172059-173582,64
9.mp3,mp3,1,001507-002431,173583-174507,48
9.mp3,mp3,0,000000-001506,174508-176014,48
15.mp3,mp3,0,000000-006157,176274-182431,66
15.mp3,mp3,2,025147-025660,182432-182945,66
4.doc,doc,1,000012-000047,184160-184195,43
4.doc,doc,0,000000-000011,185357-185368,43
1.wmv,wmv,0,000000-006979,185369-192348,37
1.wmv,wmv,1,006980-012464,193618-199102,37
1.pdf,pdf,0,000000-000613,201618-202231,11
8.mbox,mbox,1,000049-000077,202449-202477,45
8.mbox,mbox,0,000000-000048,202480-202528,45
14.mbox,mbox,0,000000-000024,207711-207735,47
14.mbox,mbox,2,000157-000230,207762-207835,47
14.mbox,mbox,1,000025-000156,207899-208030,47
3.mpg,mpg,0,000000-002041,208031-210072,36
4.mpg,mpg,0,000000-002682,210073-212755,36
3.mpg,mpg,1,002042-003047,212756-213761,36
4.mpg,mpg,1,002683-009251,213824-220392,36
9.mpg,mpg,0,000000-005520,220449-225969,83
9.mpg,mpg,2,012536-014923,226399-228786,83
14.mp3,mp3,0,000000-002087,229424-231511,65
14.mp3,mp3,1,002088-002307,232294-232513,65
3.doc,doc,1,000028-000038,236245-236255,44
3.doc,doc,0,000000-000027,236285-236312,44
3.doc,doc,2,000039-000104,236313-236378,44
10.mp3,mp3,0,000000-000194,242124-242318,49
10.mp3,mp3,2,002833-009769,242319-249255,49
10.mp3,mp3,1,000195-002832,249256-251893,49
17.jpg,jpg,0,000000-000243,254789-255032,62
17.jpg,jpg,1,000244-000488,255165-255409,62
1.avi,avi,0,000000-011340,259227-270567,6
3.mov,mov,0,000000-000067,272189-272256,26
4.mov,mov,0,000000-000090,272257-272347,26
3.mov,mov,1,000068-000625,272348-272905,26
4.mov,mov,1,000091-000099,272906-272914,26
5.mov,mov,0,000000-008824,272915-281739,26
4.mov,mov,2,000100-000479,281740-282119,26
5.mov,mov,1,008825-009005,282120-282300,26
14.pdf,pdf,0,000000-000003,285719-285722,89
11.mbox,mbox,0,000000-000003,285723-285726,89
14.pdf,pdf,1,000004-000038,285727-285761,89
2.pdf,pdf,0,000000-002481,287312-289793,33
2.pdf,pdf,1,002482-002585,290411-290514,33
2.mbox,mbox,0,000000-000020,290515-290535,28
3.mbox,mbox,0,000000-000025,290536-290561,28
2.mbox,mbox,1,000021-000025,290562-290566,28
9.mbox,mbox,2,000031-000077,291036-291082,46
9.mbox,mbox,1,000020-000030,291083-291093,46
9.mbox,mbox,0,000000-000019,291094-291113,46
1.mpg,mpg,0,000000-011143,291114-302257,12
3.mp3,mp3,0,000000-010184,302258-312442,20
4.mp3,mp3,0,000000-002285,312443-314728,20
3.mp3,mp3,1,010185-011316,314729-315860,20
4.mp3,mp3,1,002286-003628,315861-317203,20
2.mp3,mp3,0,000000-004309,326874-331183,19
